Date,Open,High,Low,Close,Change %
01-10-2001,1300.8,1313.8,1287.3,1313.3,0.96%
01-11-2001,1313.3,1332.2,1309.7,1326.8,1.03%
01-12-2001,1326.8,1333.2,1311.6,1318.3,-0.64%
16-01-2001,1318.3,1327.8,1313.3,1326.7,0.64%
17-01-2001,1326.7,1346.9,1325.4,1329.5,0.21%
18-01-2001,1329.9,1352.7,1327.4,1348,1.39%
19-01-2001,1348,1354.5,1336.7,1342.5,-0.41%
22-01-2001,1342.5,1353.6,1333.8,1342.9,0.03%
23-01-2001,1342.9,1362.9,1339.6,1360.4,1.30%
24-01-2001,1360.4,1369.8,1357.3,1364.3,0.29%
25-01-2001,1364.3,1367.3,1354.6,1357.5,-0.50%
26-01-2001,1357.5,1357.5,1342.8,1355,-0.18%
29-01-2001,1354.9,1365.5,1350.4,1364.2,0.68%
30-01-2001,1364.2,1375.7,1356.2,1373.7,0.70%
31-01-2001,1373.7,1383.4,1364.7,1366,-0.56%
02-01-2001,1366,1373.5,1359.3,1373.5,0.55%
02-02-2001,1373.5,1376.4,1348.7,1349.5,-1.75%
02-05-2001,1349.5,1354.6,1344.5,1354.3,0.36%
02-06-2001,1354.3,1363.5,1350,1352.3,-0.15%
02-07-2001,1352.3,1352.3,1334.3,1340.9,-0.84%
02-08-2001,1341.1,1350.3,1332.4,1332.5,-0.63%
02-09-2001,1332.5,1332.5,1310,1314.8,-1.33%
02-12-2001,1314.8,1331,1313.6,1330.3,1.18%
13-02-2001,1330.3,1336.6,1317.5,1318.8,-0.86%
14-02-2001,1318.8,1320.7,1304.7,1315.9,-0.22%
15-02-2001,1315.9,1331.3,1315.9,1326.6,0.81%
16-02-2001,1326.6,1326.6,1293.2,1301.5,-1.89%
20-02-2001,1301.5,1307.2,1278.4,1278.9,-1.74%
21-02-2001,1278.9,1283,1253.2,1255.3,-1.85%
22-02-2001,1255.3,1259.9,1228.3,1252.8,-0.20%
23-02-2001,1252.8,1252.8,1215.4,1245.9,-0.55%
26-02-2001,1245.9,1267.7,1241.7,1267.7,1.75%
27-02-2001,1267.7,1272.8,1252.3,1257.9,-0.77%
28-02-2001,1257.9,1263.5,1229.7,1239.9,-1.43%
03-01-2001,1239.9,1241.4,1214.5,1241.2,0.10%
03-02-2001,1241.2,1251,1219.7,1234.2,-0.56%
03-05-2001,1234.2,1242.5,1234,1241.4,0.58%
03-06-2001,1241.4,1267.4,1241.4,1253.8,1.00%
03-07-2001,1253.8,1263.9,1253.8,1261.9,0.65%
03-08-2001,1261.9,1266.5,1257.6,1264.7,0.22%
03-09-2001,1264.7,1264.7,1228.4,1233.4,-2.47%
03-12-2001,1233.4,1233.4,1176.8,1180.2,-4.31%
13-03-2001,1180.2,1197.8,1171.5,1197.7,1.48%
14-03-2001,1197.7,1197.7,1155.3,1166.7,-2.59%
15-03-2001,1166.7,1182,1166.7,1173.6,0.59%
16-03-2001,1173.6,1173.6,1148.6,1150.5,-1.97%
19-03-2001,1150.5,1173.5,1147.2,1170.8,1.76%
20-03-2001,1170.8,1180.6,1142.2,1142.6,-2.41%
21-03-2001,1142.6,1149.4,1118.7,1122.1,-1.79%
22-03-2001,1122.1,1124.3,1081.2,1117.6,-0.40%
23-03-2001,1117.6,1141.8,1117.6,1139.8,1.99%
26-03-2001,1139.8,1160,1139.8,1152.7,1.13%
27-03-2001,1152.7,1183.4,1151,1182.2,2.56%
28-03-2001,1182.2,1182.2,1147.8,1153.3,-2.44%
29-03-2001,1153.3,1161.7,1136.3,1148,-0.46%
30-03-2001,1148,1162.8,1143.8,1160.3,1.07%
04-02-2001,1160.3,1169.5,1137.5,1145.9,-1.24%
04-03-2001,1145.9,1145.9,1100.2,1106.5,-3.44%
04-04-2001,1106.5,1117.5,1092,1103.2,-0.30%
04-05-2001,1103.2,1151.5,1103.2,1151.4,4.37%
04-06-2001,1151.4,1151.4,1119.3,1128.4,-2.00%
04-09-2001,1128.4,1146.1,1126.4,1137.6,0.82%
