Date,Open,High,Low,Close,Change %
18-08-2009,2990.73,2990.73,2990.73,2990.73,2.09%
19-08-2009,2959.69,2959.69,2959.69,2959.69,-1.04%
20-08-2009,3021.27,3021.27,3021.27,3021.27,2.08%
21-08-2009,3068.32,3068.32,3068.32,3068.32,1.56%
24-08-2009,3130.94,3130.94,3130.94,3130.94,2.04%
25-08-2009,3106.11,3106.11,3106.11,3106.11,-0.79%
26-08-2009,3116.28,3116.28,3116.28,3116.28,0.33%
27-08-2009,3108.3,3108.3,3108.3,3108.3,-0.26%
28-08-2009,3142.65,3142.65,3142.65,3142.65,1.11%
31-08-2009,3119.64,3119.64,3119.64,3119.64,-0.73%
01-09-2009,3075.28,3075.28,3075.28,3075.28,-1.42%
02-09-2009,3060.59,3060.59,3060.59,3060.59,-0.48%
03-09-2009,3063.4,3063.4,3063.4,3063.4,0.09%
04-09-2009,3106.55,3106.55,3106.55,3106.55,1.41%
07-09-2009,3190.54,3190.54,3190.54,3190.54,2.70%
08-09-2009,3203.52,3203.52,3203.52,3203.52,0.41%
09-09-2009,3221.65,3221.65,3221.65,3221.65,0.57%
10-09-2009,3221.56,3221.56,3221.56,3221.56,0.00%
11-09-2009,3254.12,3254.12,3254.12,3254.12,1.01%
14-09-2009,3256.91,3256.91,3256.91,3256.91,0.09%
15-09-2009,3328.63,3328.63,3328.63,3328.63,2.20%
16-09-2009,3385.99,3385.99,3385.99,3385.99,1.72%
17-09-2009,3399.27,3399.27,3399.27,3399.27,0.39%
18-09-2009,3393.23,3393.23,3393.23,3393.23,-0.18%
22-09-2009,3445.29,3445.29,3445.29,3445.29,1.53%
23-09-2009,3423.14,3423.14,3423.14,3423.14,-0.64%
24-09-2009,3478.18,3478.18,3478.18,3478.18,1.61%
25-09-2009,3444.91,3444.91,3444.91,3444.91,-0.96%
29-09-2009,3460.05,3460.05,3460.05,3460.05,0.44%
30-09-2009,3563.89,3563.89,3563.89,3563.89,3.00%
01-10-2009,3578.07,3578.07,3578.07,3578.07,0.40%
05-10-2009,3507.11,3507.11,3507.11,3507.11,-1.98%
06-10-2009,3562.3,3562.3,3562.3,3562.3,1.57%
07-10-2009,3533.65,3533.65,3533.65,3533.65,-0.80%
08-10-2009,3562.5,3562.5,3562.5,3562.5,0.82%
09-10-2009,3505.2,3505.2,3505.2,3505.2,-1.61%
12-10-2009,3604.12,3604.12,3604.12,3604.12,2.82%
14-10-2009,3666.42,3666.42,3666.42,3666.42,1.73%
15-10-2009,3700.99,3700.99,3700.99,3700.99,0.94%
16-10-2009,3781.61,3781.61,3781.61,3781.61,2.18%
17-10-2009,3769.63,3769.63,3769.63,3769.63,-0.32%
20-10-2009,3750.41,3750.41,3750.41,3750.41,-0.51%
21-10-2009,3674.62,3674.62,3674.62,3674.62,-2.02%
22-10-2009,3603.7,3603.7,3603.7,3603.7,-1.93%
23-10-2009,3651.49,3651.49,3651.49,3651.49,1.33%
26-10-2009,3614.81,3614.81,3614.81,3614.81,-1.00%
27-10-2009,3494.14,3494.14,3494.14,3494.14,-3.34%
28-10-2009,3439.95,3439.95,3439.95,3439.95,-1.55%
29-10-2009,3381.07,3381.07,3381.07,3381.07,-1.71%
30-10-2009,3397.69,3397.69,3397.69,3397.69,0.49%
03-11-2009,3310.01,3310.01,3310.01,3310.01,-2.58%
04-11-2009,3408.29,3408.29,3408.29,3408.29,2.97%
05-11-2009,3426.86,3426.86,3426.86,3426.86,0.54%
06-11-2009,3494.73,3494.73,3494.73,3494.73,1.98%
09-11-2009,3643.95,3643.95,3643.95,3643.95,4.27%
10-11-2009,3662.29,3662.29,3662.29,3662.29,0.50%
11-11-2009,3735.9,3735.9,3735.9,3735.9,2.01%
12-11-2009,3642.71,3642.71,3642.71,3642.71,-2.49%
13-11-2009,3674.44,3674.44,3674.44,3674.44,0.87%
16-11-2009,3723.76,3723.76,3723.76,3723.76,1.34%
17-11-2009,3742.8,3742.8,3742.8,3742.8,0.51%
18-11-2009,3728.31,3728.31,3728.31,3728.31,-0.39%
19-11-2009,3672.92,3672.92,3672.92,3672.92,-1.49%
20-11-2009,3724.19,3724.19,3724.19,3724.19,1.40%
23-11-2009,3744.86,3744.86,3744.86,3744.86,0.56%
24-11-2009,3724.79,3724.79,3724.79,3724.79,-0.54%
25-11-2009,3741.57,3741.57,3741.57,3741.57,0.45%
26-11-2009,3652.03,3652.03,3652.03,3652.03,-2.39%
27-11-2009,3603.5,3603.5,3603.5,3603.5,-1.33%
30-11-2009,3653.65,3653.65,3653.65,3653.65,1.39%
01-12-2009,3727.4,3727.4,3727.4,3727.4,2.02%
02-12-2009,3747.5,3747.5,3747.5,3747.5,0.54%
03-12-2009,3758.48,3758.48,3758.48,3758.48,0.29%
04-12-2009,3726.01,3726.01,3726.01,3726.01,-0.86%
07-12-2009,3711.59,3711.59,3711.59,3711.59,-0.39%
08-12-2009,3748.1,3748.1,3748.1,3748.1,0.98%
09-12-2009,3695.02,3695.02,3695.02,3695.02,-1.42%
10-12-2009,3706.28,3706.28,3706.28,3706.28,0.30%
11-12-2009,3675.64,3675.64,3675.64,3675.64,-0.83%
14-12-2009,3637.31,3637.31,3637.31,3637.31,-1.04%
15-12-2009,3537.18,3537.18,3537.18,3537.18,-2.75%
16-12-2009,3509.61,3509.61,3509.61,3509.61,-0.78%
17-12-2009,3512.07,3512.07,3512.07,3512.07,0.07%
18-12-2009,3474.69,3474.69,3474.69,3474.69,-1.06%
21-12-2009,3462.79,3462.79,3462.79,3462.79,-0.34%
22-12-2009,3499.97,3499.97,3499.97,3499.97,1.07%
23-12-2009,3591.57,3591.57,3591.57,3591.57,2.62%
24-12-2009,3609.3,3609.3,3609.3,3609.3,0.49%
29-12-2009,3621.49,3621.49,3621.49,3621.49,0.34%
30-12-2009,3622.73,3622.73,3622.73,3622.73,0.03%
31-12-2009,3650.68,3650.68,3650.68,3650.68,0.77%
04-01-2010,3671.8,3671.8,3671.8,3671.8,0.58%
05-01-2010,3699.51,3699.51,3699.51,3699.51,0.75%
06-01-2010,3707.8,3707.8,3707.8,3707.8,0.22%
07-01-2010,3690.45,3690.45,3690.45,3690.45,-0.47%
08-01-2010,3676,3676,3676,3676,-0.39%
11-01-2010,3692.35,3692.35,3692.35,3692.35,0.44%
12-01-2010,3625.01,3625.01,3625.01,3625.01,-1.82%
13-01-2010,3609.47,3609.47,3609.47,3609.47,-0.43%
14-01-2010,3618.73,3618.73,3618.73,3618.73,0.26%
15-01-2010,3617.41,3617.41,3617.41,3617.41,-0.04%
18-01-2010,3671.19,3671.19,3671.19,3671.19,1.49%
19-01-2010,3674.47,3674.47,3674.47,3674.47,0.09%
20-01-2010,3671.17,3671.17,3671.17,3671.17,-0.09%
21-01-2010,3585.52,3585.52,3585.52,3585.52,-2.33%
22-01-2010,3521.68,3521.68,3521.68,3521.68,-1.78%
25-01-2010,3491.93,3491.93,3491.93,3491.93,-0.84%
27-01-2010,3331.81,3331.81,3331.81,3331.81,-4.59%
28-01-2010,3365.95,3365.95,3365.95,3365.95,1.02%
29-01-2010,3439.17,3439.17,3439.17,3439.17,2.18%
01-02-2010,3438.06,3438.06,3438.06,3438.06,-0.03%
02-02-2010,3384.85,3384.85,3384.85,3384.85,-1.55%
03-02-2010,3463.9,3463.9,3463.9,3463.9,2.34%
04-02-2010,3395.26,3395.26,3395.26,3395.26,-1.98%
05-02-2010,3307.8,3307.8,3307.8,3307.8,-2.58%
06-02-2010,3326.16,3326.16,3326.16,3326.16,0.56%
08-02-2010,3324.35,3324.35,3324.35,3324.35,-0.05%
09-02-2010,3346.85,3346.85,3346.85,3346.85,0.68%
10-02-2010,3316.77,3316.77,3316.77,3316.77,-0.90%
11-02-2010,3342.16,3342.16,3342.16,3342.16,0.77%
15-02-2010,3327.09,3327.09,3327.09,3327.09,-0.45%
16-02-2010,3355.47,3355.47,3355.47,3355.47,0.85%
17-02-2010,3409.64,3409.64,3409.64,3409.64,1.61%
18-02-2010,3416.24,3416.24,3416.24,3416.24,0.19%
19-02-2010,3386.51,3386.51,3386.51,3386.51,-0.87%
22-02-2010,3386.49,3386.49,3386.49,3386.49,0.00%
23-02-2010,3397.34,3397.34,3397.34,3397.34,0.32%
24-02-2010,3398.34,3398.34,3398.34,3398.34,0.03%
25-02-2010,3407.76,3407.76,3407.76,3407.76,0.28%
26-02-2010,3496.04,3496.04,3496.04,3496.04,2.59%
02-03-2010,3551.22,3551.22,3551.22,3551.22,1.58%
03-03-2010,3601.57,3601.57,3601.57,3601.57,1.42%
04-03-2010,3599.57,3599.57,3599.57,3599.57,-0.06%
05-03-2010,3605.12,3605.12,3605.12,3605.12,0.15%
08-03-2010,3647.36,3647.36,3647.36,3647.36,1.17%
09-03-2010,3641.37,3641.37,3641.37,3641.37,-0.16%
10-03-2010,3647.42,3647.42,3647.42,3647.42,0.17%
11-03-2010,3668.29,3668.29,3668.29,3668.29,0.57%
12-03-2010,3672.41,3672.41,3672.41,3672.41,0.11%
15-03-2010,3635.45,3635.45,3635.45,3635.45,-1.01%
16-03-2010,3641.39,3641.39,3641.39,3641.39,0.16%
17-03-2010,3671.07,3671.07,3671.07,3671.07,0.82%
18-03-2010,3692.42,3692.42,3692.42,3692.42,0.58%
